county_clean,year,fips_code,county,year_month,cust_hours_out,max_customers_out,n_intervals,mcc,has_mcc,max_pct_out,n_new,stock,stock_total,pre2014_stock,n_unknown,stock_capacity_mw,stock_area_sqft,cum_capacity_mw,cum_area_sqft
ALACHUA,2025,12001,Alachua,2025-03,14790.75,4214,1754,218548,1,0.0192818053699874,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-04,15314,4736,1811,218548,1,0.0216702966853963,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-05,19728.25,2723,1754,218548,1,0.0124595054633307,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-06,31351.75,7505,1778,218548,1,0.0343402822263301,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-07,40528,3018,2334,218548,1,0.013809323352307,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-08,18286.5,4047,1905,218548,1,0.0185176711752109,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-09,11776.25,2673,1745,218548,1,0.0122307227702839,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-10,10168.75,1424,1709,218548,1,0.0065157310979739,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-11,4456.75,1386,1430,218548,1,0.00634185625125831,1,1,1,0,0,1.2,2100,1.2,2100
ALACHUA,2025,12001,Alachua,2025-12,15560.25,7379,1480,218548,1,0.0337637498398521,1,1,1,0,0,1.2,2100,1.2,2100
BAKER,2014,12003,Baker,2014-11,2365.25,288,243,15917,1,0.0180938619086511,0,0,0,0,0,0,0,0,0
BAKER,2014,12003,Baker,2014-12,3429.25,447,214,15917,1,0.0280831815040523,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-01,171,115,140,15917,1,0.00722497958157944,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-02,1300.75,840,165,15917,1,0.0527737639002325,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-03,435.75,139,101,15917,1,0.00873280140730037,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-04,764.5,153,219,15917,1,0.00961236413897091,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-05,4726.5,2281,181,15917,1,0.143305899352893,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-06,3923.25,388,317,15917,1,0.024376452849155,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-07,1846.25,142,369,15917,1,0.00892127913551549,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-08,5349,1316,336,15917,1,0.0826788967770309,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-09,498.75,38,338,15917,1,0.00238738455739147,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-10,3448.75,1319,234,15917,1,0.082867374505246,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-11,1500.25,827,121,15917,1,0.051957027077967,0,0,0,0,0,0,0,0,0
BAKER,2015,12003,Baker,2015-12,1487.75,421,191,15917,1,0.0264497078595213,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-01,1669,388,216,15917,1,0.024376452849155,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-02,1818,833,262,15917,1,0.0523339825343972,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-03,1060,136,362,15917,1,0.00854432367908525,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-04,601.5,114,224,15917,1,0.00716215367217441,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-05,855.5,443,265,15917,1,0.0278318778664321,0,0,0,0,0,0,0,0,0
BAKER,2016,12003,Baker,2016-06,1862.75,968,250,15917,1,0.0608154803040774,0,0,0,0,0,0,0,0,0
